COD_MUN,Ano,Valor,Indicador,GeoType
352830,2017,"3,19",Consultas,Municipio
352840,2017,"0,32",Consultas,Municipio
352850,2017,"1,16",Consultas,Municipio
352860,2017,"1,85",Consultas,Municipio
352870,2017,"1,56",Consultas,Municipio
352880,2017,"1,68",Consultas,Municipio
352885,2017,"4,39",Consultas,Municipio
352890,2017,"2,37",Consultas,Municipio
352900,2017,"0,54",Consultas,Municipio
352910,2017,"26,77",Consultas,Municipio
352920,2017,"1,06",Consultas,Municipio
352930,2017,"0,86",Consultas,Municipio
352940,2017,"0,71",Consultas,Municipio
352950,2017,"6,23",Consultas,Municipio
352960,2017,"3,99",Consultas,Municipio
352965,2017,"1,36",Consultas,Municipio
352970,2017,"0,21",Consultas,Municipio
352980,2017,"0,32",Consultas,Municipio
353000,2017,"8,54",Consultas,Municipio
352990,2017,"0,89",Consultas,Municipio
353010,2017,"0,67",Consultas,Municipio
353020,2017,"3,46",Consultas,Municipio
353030,2017,"0,63",Consultas,Municipio
353040,2017,"4,47",Consultas,Municipio
353050,2017,"1,14",Consultas,Municipio
353060,2017,"0,51",Consultas,Municipio
353070,2017,"1,06",Consultas,Municipio
353080,2017,"1,02",Consultas,Municipio
353090,2017,"3,83",Consultas,Municipio
353100,2017,"2,77",Consultas,Municipio
353110,2017,"1,54",Consultas,Municipio
353120,2017,"2,2",Consultas,Municipio
353130,2017,"5,51",Consultas,Municipio
353140,2017,"1,66",Consultas,Municipio
353150,2017,"0,62",Consultas,Municipio
353160,2017,"2,04",Consultas,Municipio
353180,2017,"1,41",Consultas,Municipio
353170,2017,"3,22",Consultas,Municipio
353190,2017,"1,82",Consultas,Municipio
353200,2017,"1,05",Consultas,Municipio
353205,2017,"2,48",Consultas,Municipio
353210,2017,"0,96",Consultas,Municipio
353215,2017,0,Consultas,Municipio
353220,2017,"2,89",Consultas,Municipio
353230,2017,"2,23",Consultas,Municipio
353240,2017,"3,56",Consultas,Municipio
353250,2017,"9,15",Consultas,Municipio
353260,2017,"0,48",Consultas,Municipio
353270,2017,"9,28",Consultas,Municipio
353280,2017,"3,65",Consultas,Municipio
353282,2017,"1,15",Consultas,Municipio
353284,2017,"2,04",Consultas,Municipio
353286,2017,170,Consultas,Municipio
353290,2017,"1,46",Consultas,Municipio
353300,2017,"2,75",Consultas,Municipio
353310,2017,"3,68",Consultas,Municipio
353320,2017,"1,06",Consultas,Municipio
353330,2017,"1,77",Consultas,Municipio
353340,2017,"0,6",Consultas,Municipio
353325,2017,"3,18",Consultas,Municipio
353350,2017,"1,48",Consultas,Municipio
353360,2017,"3,62",Consultas,Municipio
353370,2017,"2,11",Consultas,Municipio
353380,2017,"1,39",Consultas,Municipio
353390,2017,"1,39",Consultas,Municipio
353400,2017,"6,27",Consultas,Municipio
353410,2017,"8,36",Consultas,Municipio
353420,2017,"1,94",Consultas,Municipio
353430,2017,"0,87",Consultas,Municipio
353440,2017,"0,7",Consultas,Municipio
353450,2017,"3,58",Consultas,Municipio
353460,2017,"1,44",Consultas,Municipio
353470,2017,"0,69",Consultas,Municipio
353480,2017,"1,5",Consultas,Municipio
353475,2017,"13,14",Consultas,Municipio
353490,2017,"1,78",Consultas,Municipio
353500,2017,"2,88",Consultas,Municipio
353510,2017,"3,26",Consultas,Municipio
353520,2017,"1,57",Consultas,Municipio
353530,2017,"1,49",Consultas,Municipio
353540,2017,"1,83",Consultas,Municipio
353550,2017,"1,03",Consultas,Municipio
353560,2017,"3,01",Consultas,Municipio
353570,2017,"1,91",Consultas,Municipio
353580,2017,"2,64",Consultas,Municipio
353590,2017,"0,56",Consultas,Municipio
353600,2017,"1,04",Consultas,Municipio
353610,2017,"1,27",Consultas,Municipio
353620,2017,"0,88",Consultas,Municipio
353625,2017,"5,53",Consultas,Municipio
353630,2017,"2,72",Consultas,Municipio
353640,2017,"0,96",Consultas,Municipio
353650,2017,"1,27",Consultas,Municipio
353657,2017,"1,44",Consultas,Municipio
353660,2017,"2,77",Consultas,Municipio
353670,2017,"1,06",Consultas,Municipio
353680,2017,"4,44",Consultas,Municipio
353690,2017,"2,57",Consultas,Municipio
353700,2017,"1,32",Consultas,Municipio
353710,2017,"1,12",Consultas,Municipio
353715,2017,"1,27",Consultas,Municipio
353720,2017,"0,22",Consultas,Municipio
353730,2017,"1,55",Consultas,Municipio
353740,2017,"1,98",Consultas,Municipio
353750,2017,"0,78",Consultas,Municipio
353760,2017,"0,74",Consultas,Municipio
353770,2017,"5,64",Consultas,Municipio
353780,2017,"8,05",Consultas,Municipio
353790,2017,"0,43",Consultas,Municipio
353800,2017,"1,06",Consultas,Municipio
353810,2017,"2,2",Consultas,Municipio
353820,2017,"1,29",Consultas,Municipio
353830,2017,"2,31",Consultas,Municipio
353850,2017,"0,9",Consultas,Municipio
353860,2017,"0,88",Consultas,Municipio
353870,2017,"0,81",Consultas,Municipio
353880,2017,"0,67",Consultas,Municipio
353890,2017,"1,69",Consultas,Municipio
353900,2017,"3,79",Consultas,Municipio
353910,2017,"0,42",Consultas,Municipio
353920,2017,"0,55",Consultas,Municipio
353930,2017,"1,34",Consultas,Municipio
353940,2017,"3,95",Consultas,Municipio
353950,2017,"1,23",Consultas,Municipio
353960,2017,"63,81",Consultas,Municipio
353970,2017,"5,42",Consultas,Municipio
353980,2017,"4,66",Consultas,Municipio
353990,2017,"1,43",Consultas,Municipio
354000,2017,"1,56",Consultas,Municipio
354010,2017,"2,77",Consultas,Municipio
354020,2017,"1,46",Consultas,Municipio
354025,2017,"0,29",Consultas,Municipio
354030,2017,"2,05",Consultas,Municipio
354040,2017,"1,68",Consultas,Municipio
354050,2017,"2,05",Consultas,Municipio
354060,2017,"5,44",Consultas,Municipio
354070,2017,"1,1",Consultas,Municipio
354075,2017,"2,69",Consultas,Municipio
354080,2017,"1,26",Consultas,Municipio
354085,2017,"3,26",Consultas,Municipio
354090,2017,"10,77",Consultas,Municipio
354100,2017,"0,83",Consultas,Municipio
354105,2017,"1,68",Consultas,Municipio
354110,2017,"1,17",Consultas,Municipio
354120,2017,"0,34",Consultas,Municipio
354130,2017,"1,01",Consultas,Municipio
354140,2017,"1,01",Consultas,Municipio
354150,2017,"1,59",Consultas,Municipio
354160,2017,"1,13",Consultas,Municipio
354165,2017,"1,95",Consultas,Municipio
354170,2017,"2,38",Consultas,Municipio
354180,2017,"2,72",Consultas,Municipio
354190,2017,"0,64",Consultas,Municipio
354200,2017,"6,86",Consultas,Municipio
354210,2017,"0,33",Consultas,Municipio
354220,2017,"2,27",Consultas,Municipio
354230,2017,"4,63",Consultas,Municipio
354240,2017,"1,33",Consultas,Municipio
354250,2017,"0,79",Consultas,Municipio
354260,2017,"0,59",Consultas,Municipio
354270,2017,"3,34",Consultas,Municipio
354280,2017,"1,13",Consultas,Municipio
354290,2017,"3,58",Consultas,Municipio
354300,2017,"0,77",Consultas,Municipio
354310,2017,"4,18",Consultas,Municipio
354320,2017,"3,96",Consultas,Municipio
354323,2017,"3,76",Consultas,Municipio
354325,2017,"1,26",Consultas,Municipio
354330,2017,"0,41",Consultas,Municipio
354340,2017,"0,74",Consultas,Municipio
354360,2017,"2,98",Consultas,Municipio
354370,2017,"3,22",Consultas,Municipio
354380,2017,"3,27",Consultas,Municipio
354390,2017,"0,58",Consultas,Municipio
354400,2017,"0,43",Consultas,Municipio
354410,2017,"0,91",Consultas,Municipio
354420,2017,"1,1",Consultas,Municipio
354350,2017,"0,58",Consultas,Municipio
354425,2017,"0,78",Consultas,Municipio
354430,2017,"5,81",Consultas,Municipio
354440,2017,"2,35",Consultas,Municipio
354450,2017,"1,4",Consultas,Municipio
354460,2017,"4,35",Consultas,Municipio
354470,2017,"2,44",Consultas,Municipio
354480,2017,"5,71",Consultas,Municipio
354490,2017,"2,02",Consultas,Municipio
354500,2017,"0,61",Consultas,Municipio
354510,2017,"2,09",Consultas,Municipio
354515,2017,"3,71",Consultas,Municipio
354520,2017,"0,95",Consultas,Municipio
354530,2017,"0,43",Consultas,Municipio
354540,2017,"1,48",Consultas,Municipio
354550,2017,"3,01",Consultas,Municipio
354560,2017,"2,21",Consultas,Municipio
354570,2017,"4,04",Consultas,Municipio
354580,2017,"0,71",Consultas,Municipio
354600,2017,"0,06",Consultas,Municipio
354610,2017,"2,3",Consultas,Municipio
354620,2017,"2,66",Consultas,Municipio
354625,2017,"5,36",Consultas,Municipio
354630,2017,"1,26",Consultas,Municipio
354640,2017,"1,5",Consultas,Municipio
354650,2017,"1,07",Consultas,Municipio
354660,2017,"1,49",Consultas,Municipio
354670,2017,"2,52",Consultas,Municipio
354680,2017,"0,57",Consultas,Municipio
354690,2017,"0,9",Consultas,Municipio
354700,2017,"1,7",Consultas,Municipio
354710,2017,"1,43",Consultas,Municipio
354740,2017,"5,04",Consultas,Municipio
354750,2017,"0,73",Consultas,Municipio
354760,2017,"1,38",Consultas,Municipio
354765,2017,"8,21",Consultas,Municipio
354720,2017,"5,44",Consultas,Municipio
354730,2017,"3,22",Consultas,Municipio
354770,2017,"1,24",Consultas,Municipio
354780,2017,"0,6",Consultas,Municipio
354790,2017,"1,34",Consultas,Municipio
354800,2017,"0,75",Consultas,Municipio
354805,2017,"5,37",Consultas,Municipio
354810,2017,"3,78",Consultas,Municipio
354820,2017,"1,88",Consultas,Municipio
354830,2017,"1,06",Consultas,Municipio
354840,2017,"2,11",Consultas,Municipio
354850,2017,"0,79",Consultas,Municipio
354860,2017,"0,51",Consultas,Municipio
354870,2017,"0,57",Consultas,Municipio
354880,2017,"0,96",Consultas,Municipio
354890,2017,"0,29",Consultas,Municipio
354900,2017,"2,96",Consultas,Municipio
