COD_MUN,Ano,Valor,Indicador,GeoType
353870,2016,"8,75",Mortalidade,Municipio
353880,2016,"10,7",Mortalidade,Municipio
353890,2016,"27,65",Mortalidade,Municipio
353900,2016,"9,35",Mortalidade,Municipio
353910,2016,"11,67",Mortalidade,Municipio
353920,2016,"9,2",Mortalidade,Municipio
353930,2016,"7,82",Mortalidade,Municipio
353940,2016,"11,3",Mortalidade,Municipio
353950,2016,"11,19",Mortalidade,Municipio
353970,2016,"52,63",Mortalidade,Municipio
353980,2016,"13,35",Mortalidade,Municipio
354000,2016,"31,25",Mortalidade,Municipio
354010,2016,"35,71",Mortalidade,Municipio
354020,2016,"13,86",Mortalidade,Municipio
354040,2016,25,Mortalidade,Municipio
354050,2016,"20,2",Mortalidade,Municipio
354060,2016,"8,96",Mortalidade,Municipio
354070,2016,"4,78",Mortalidade,Municipio
354075,2016,"18,25",Mortalidade,Municipio
354080,2016,"4,13",Mortalidade,Municipio
354090,2016,"4,81",Mortalidade,Municipio
354100,2016,"13,73",Mortalidade,Municipio
354120,2016,"8,7",Mortalidade,Municipio
354130,2016,"6,98",Mortalidade,Municipio
354140,2016,"14,61",Mortalidade,Municipio
354150,2016,"7,5",Mortalidade,Municipio
354160,2016,"14,02",Mortalidade,Municipio
354170,2016,"18,52",Mortalidade,Municipio
354180,2016,"19,61",Mortalidade,Municipio
354190,2016,"7,41",Mortalidade,Municipio
354210,2016,"11,36",Mortalidade,Municipio
354220,2016,"20,55",Mortalidade,Municipio
354260,2016,"11,68",Mortalidade,Municipio
354270,2016,"10,2",Mortalidade,Municipio
354300,2016,"15,33",Mortalidade,Municipio
354310,2016,"30,3",Mortalidade,Municipio
354325,2016,10,Mortalidade,Municipio
354330,2016,"9,8",Mortalidade,Municipio
354340,2016,"10,33",Mortalidade,Municipio
354370,2016,"9,52",Mortalidade,Municipio
354380,2016,"22,47",Mortalidade,Municipio
354390,2016,"11,5",Mortalidade,Municipio
354400,2016,"10,2",Mortalidade,Municipio
354410,2016,5,Mortalidade,Municipio
354350,2016,"37,04",Mortalidade,Municipio
354425,2016,"3,61",Mortalidade,Municipio
354450,2016,"43,48",Mortalidade,Municipio
354490,2016,"8,26",Mortalidade,Municipio
354500,2016,"4,9",Mortalidade,Municipio
354520,2016,"9,26",Mortalidade,Municipio
354530,2016,"13,49",Mortalidade,Municipio
354540,2016,"9,35",Mortalidade,Municipio
354560,2016,"10,64",Mortalidade,Municipio
354570,2016,"46,15",Mortalidade,Municipio
354580,2016,10,Mortalidade,Municipio
354600,2016,"19,48",Mortalidade,Municipio
354620,2016,"30,3",Mortalidade,Municipio
354630,2016,"5,14",Mortalidade,Municipio
354640,2016,"3,55",Mortalidade,Municipio
354650,2016,"16,95",Mortalidade,Municipio
354660,2016,"2,83",Mortalidade,Municipio
354670,2016,"12,16",Mortalidade,Municipio
354680,2016,"13,97",Mortalidade,Municipio
354690,2016,"27,78",Mortalidade,Municipio
354700,2016,"12,35",Mortalidade,Municipio
354740,2016,"52,63",Mortalidade,Municipio
